Index,Period,n,Mean,SD,Median,Min,Max
Curriculum Representation,Before,7,3.393,0.627,3.5,2.25,4.0
Curriculum Representation,After,25,3.16,0.649,3.25,1.75,4.0
Inclusive Case Studies,Before,7,3.2,0.766,3.4,1.8,4.0
Inclusive Case Studies,After,25,3.144,0.549,3.2,2.0,4.0
Inclusive Course Materials,Before,7,3.143,0.827,3.25,2.0,4.0
Inclusive Course Materials,After,25,3.06,0.491,3.0,2.25,4.0
Inclusive Teaching Activities,Before,7,4.393,0.476,4.5,3.5,5.0
Inclusive Teaching Activities,After,25,3.58,0.594,3.5,2.0,4.75
Responsible Spatial Practice,Before,7,3.714,0.488,3.5,3.0,4.5
Responsible Spatial Practice,After,25,3.7,0.595,4.0,2.5,4.5
Overall Inclusive GIS Curriculum Score,Before,7,3.569,0.482,3.54,2.71,4.1
Overall Inclusive GIS Curriculum Score,After,25,3.329,0.462,3.28,2.45,4.01
