Theme,Period,Count,Percent
Global South / international contexts,Before,1,14.3
Global South / international contexts,After,7,28.0
Rural communities,Before,0,0.0
Rural communities,After,3,12.0
Indigenous communities,Before,0,0.0
Indigenous communities,After,2,8.0
Accessibility / disability,Before,0,0.0
Accessibility / disability,After,1,4.0
Environmental justice / climate,Before,0,0.0
Environmental justice / climate,After,2,8.0
Gender,Before,0,0.0
Gender,After,2,8.0
Transportation,Before,0,0.0
Transportation,After,1,4.0
Data / datasets,Before,1,14.3
Data / datasets,After,12,48.0
Readings / resources,Before,0,0.0
Readings / resources,After,0,0.0
Community engagement,Before,0,0.0
Community engagement,After,1,4.0
