StartDate,EndDate,Q1.2,Q1.3,Q1.3_4_TEXT,Q1.4,Q1.5,Q1.6,Q1.7,Q1.8,Q1.9,Q1.10,Q2.2,Q2.3,Q2.4,Q2.5,Q2.6,Q2.7,Q3.2,Q3.3,Q3.5,Q3.6,Q3.7,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7,Q5.2,Q5.3,Q5.4,Q5.5,Q5.6,Q5.7,Q6.2,Q6.3,Q6.4,Q8.3,PersonObtainerDate,survey_month,period,Q2.2_score,Q2.3_score,Q2.4_score,Q2.5_score,Q2.7_score,Q3.2_score,Q3.3_score,Q3.5_score,Q3.6_score,Q3.7_score,Q4.2_score,Q4.3_score,Q4.4_score,Q4.5_score,Q5.3_score,Q5.4_score,Q5.5_score,Q5.6_score,Q5.7_score,Q1.7_score,Q1.8_score,Q1.9_score,Q1.10_score,Curriculum Representation,Inclusive Case Studies,Inclusive Course Materials,Inclusive Teaching Activities,Responsible Spatial Practice,Overall Inclusive GIS Curriculum Score
2025-06-02 17:05:00,2025-06-02 17:13:00,Yes,Engineering,,Male,2nd year,International,Less,Significantly improved,Very well,Very well,Very well,Very well,Very well,Very well,Moderate,Moderate,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Very well,No,Very well,Not well at all,Extremely well,Extremely well,Extremely well,Extremely well,Very well,no,no,no,No,,6,Before,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,4.0,2,5,4,4,5.0,5.0,5.0,5.0,4.0,4.8
2025-06-02 15:23:00,2025-06-02 15:39:00,Yes,Urban Planning,,Female,1st year,International,Moderate,Significantly improved,Moderate,Moderate,Moderate,Maybe,Very well,Very well,Moderate,Moderate,Moderate,Moderate,Very well,Moderate,Moderate,Moderate,Maybe,Very well,Moderate,No,Moderate,,Very well,Very well,Extremely well,Very well,Very well,some interesting and actionable GIS application to tackle real-world challenge,,,,,6,Before,4,3,5,5,4,4,4,5,4,4,4,3,5,4,4.0,4.0,5.0,4.0,4.0,3,5,3,3,4.25,4.2,4.0,4.25,4.0,4.14
2025-06-17 14:48:00,2025-06-17 14:52:00,Yes,Other,Computer Science,Male,1st year,Domestic,Moderate,Significantly improved,Extreamly well,Very well,Maybe,Maybe,Very well,Moderate,Moderate,Maybe,Moderate,Less,Moderate,Maybe,Less,No,No,Moderate,Maybe,No,Less,Extremely well,Moderately well,Extremely well,Extremely well,Extremely well,Extremely well,,,,Yes,,6,Before,3,3,5,4,3,4,3,4,3,3,1,1,4,3,3.0,5.0,5.0,5.0,5.0,3,5,5,4,3.75,3.4,2.25,4.5,4.0,3.5799999999999996
2025-06-17 16:19:00,2025-06-17 16:59:00,Yes,Other,Graphic Design,Female,1st year,International,Very less,Significantly improved,Very well,Very well,Very well,Very well,Very well,Very well,Moderate,Moderate,Very well,Maybe,Very well,Very well,Very well,Very well,Moderate,Very well,Very well,No,Very well,Not well at all,Very well,Extremely well,Very well,Extremely well,Very well,,,,Yes,,6,Before,5,5,5,5,4,5,3,5,5,5,5,4,5,5,4.0,5.0,4.0,5.0,4.0,1,5,4,4,5.0,4.6,4.75,4.5,4.0,4.57
2025-06-17 16:44:00,2025-06-17 17:04:00,Yes,Other,Economics,Female,1st year,International,Very less,Significantly improved,Moderate,Moderate,Less,Maybe,Maybe,Very less,Moderate,Moderate,Very less,Very less,Moderate,Very less,Moderate,Maybe,No,Moderate,Very less,No,Moderate,Moderately well,Moderately well,Moderately well,Very well,Very well,Extremely well,"Most students in class has no background in GIS, thus its natural for the professor to demonstrate the tools and demos step-by-step, also explaining the intuition behind the method. This requires a lot of time. If the GIS curriculum needs to improve its inclusivity, the best way will be using more inclusivity-related topics for the in class demos, so both goals can be achieved.","A lot of the students in the GIS class are international students, who lack their knowledge of American history and demographics, so when students are picking topics, they will pick something that are familiar to them, something that is explainable and easy to gather data. Therefore, I think representing minority regions or groups should be led by the instructor, for example, assigning homework that analyze a region that was used to be a place with unique history.",,Yes,,6,Before,3,3,3,2,4,2,2,4,2,4,3,1,4,2,3.0,3.0,4.0,4.0,5.0,1,5,3,3,2.75,2.8,2.5,3.5,4.5,3.21
2025-06-18 01:45:00,2025-06-18 01:55:00,Yes,Other,Urban science,Female,1st year,International,Very well,Somewhat improved,Very well,Moderate,Very well,Very well,Very well,Moderate,Moderate,Very well,Moderate,Moderate,Very well,Very well,Very well,Very well,Moderate,Very well,Very well,Maybe,Very well,Slightly well,Very well,Extremely well,Very well,Very well,Extremely well,,,,Yes,,6,Before,5,5,5,4,5,4,4,5,5,5,5,4,5,5,4.0,5.0,4.0,4.0,5.0,4,4,4,3,4.75,4.6,4.75,4.25,5.0,4.67
2025-06-20 09:23:00,2025-06-20 09:29:00,Yes,Engineering,,Female,1st year,International,Very less,Significantly improved,Very well,Moderate,Moderate,Moderate,Maybe,Moderate,Moderate,Maybe,Moderate,Moderate,Very well,Very well,Moderate,Maybe,Moderate,Moderate,Very well,Very less,Maybe,Not well at all,Very well,Extremely well,Extremely well,Extremely well,Moderately well,,,,No,,6,Before,4,4,3,4,3,4,4,5,5,4,3,4,4,5,4.0,5.0,5.0,5.0,3.0,1,5,4,3,3.75,4.4,4.0,4.75,3.0,3.9799999999999995
2025-06-14 05:23:00,2025-06-14 05:27:00,Yes,Other,management,Female,1st year,International,Very less,Significantly improved,Moderate,Moderate,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Very well,,,,,,,,,,,,6,Before,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,1,5,3,3,5.0,5.0,5.0,,5.0,5.0
2025-12-01 10:06:00,2025-12-01 10:07:00,Yes,Urban Planning,,Female,2nd year,International,Very well,Somewhat improved,Less,Very well,Very less,Less,Very less,Less,Maybe,Maybe,Very less,Very less,Less,Moderate,Maybe,Less,Maybe,Less,Very less,Less,Less,Slightly well,Not well at all,Slightly well,Very well,Very well,Moderately well,,,,Yes,,12,After,2,3,2,3,3,2,2,3,4,3,3,3,3,2,1.0,2.0,4.0,4.0,3.0,4,4,2,4,2.5,2.8,2.75,2.75,3.0,2.7600000000000002
2025-12-01 13:22:00,2025-12-01 13:43:00,Yes,Other,Architecture,Female,1st year,International,Very less,Somewhat improved,Very well,Moderate,Maybe,Maybe,Less,Less,Moderate,Moderate,Less,Maybe,Less,Maybe,Less,Less,Maybe,Less,Less,No,Maybe,,Moderately well,Very well,Extremely well,Extremely well,Very well,"When you said 'diverse' does that mean diverse in American context? I kind of confused. But I think it covers East and Middle-east coast only... less in west coast part. Maybe you can add that in class, but maybe it is not possible because they have less open data?","I want to say to explore more from outside the US, but the data is really limited (I have tried it for my country lol)",-,Yes,,12,After,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3.0,4.0,5.0,5.0,4.0,1,4,4,3,3.0,3.0,3.0,4.25,4.0,3.45
